lexicog.Entry	rdfs.label	lexinfo.note	lexicog.describes	lexicog.subComponent	skos.note
lexicogEntry:n00196	Fonseca’s entry for 'Abstersus'		lexicalEntry:n00196.e01		
lexicogEntry:n00197	Fonseca’s entry for 'Abstinax'		lexicalEntry:n00197.e01		
lexicogEntry:n00198	Fonseca’s entry for 'Abstinendus'		lexicalEntry:n00198.e01		
lexicogEntry:n00199	Fonseca’s entry for 'Abstinens'		lexicalEntry:n00199.e01		
lexicogEntry:n00200	Fonseca’s entry for 'Abstinenter'		lexicalEntry:n00200.e01		
lexicogEntry:n00201	Fonseca’s entry for 'Abstinentia'		lexicalEntry:n00201.e01		
lexicogEntry:n00202	Fonseca’s entry for 'Abstineo'		lexicalEntry:n00202.e01		
lexicogEntry:n00203	Fonseca’s entry for 'Absto'		lexicalEntry:n00203.e01		
lexicogEntry:n00204	Fonseca’s entry for 'Abstractus'		lexicalEntry:n00204.e01		
lexicogEntry:n00205	Fonseca’s entry for 'Abstraho'		lexicalEntry:n00205.e01		
lexicogEntry:n00206	Fonseca’s entry for 'Abstrudo'		lexicalEntry:n00206.e01		
lexicogEntry:n00207	Fonseca’s entry for 'Abstrusus'		lexicalEntry:n00207.e01		
lexicogEntry:n00208	Fonseca’s entry for 'Abstuli'		lexicalEntry:n00208.e01		
lexicogEntry:n00209	Fonseca’s entry for 'Absuetudo'		lexicalEntry:n00209.e01		
lexicogEntry:n00210	Fonseca’s entry for 'Absum'		lexicalEntry:n00210.e01		
lexicogEntry:n00211	Fonseca’s entry for 'Absumedo'		lexicalEntry:n00211.e01		
lexicogEntry:n00212	Fonseca’s entry for 'Absumo'		lexicalEntry:n00212.e01		
lexicogEntry:n00213	Fonseca’s entry for 'Absumptio'		lexicalEntry:n00213.e01		
lexicogEntry:n00214	Fonseca’s entry for 'Absumptus'		lexicalEntry:n00214.e01		
lexicogEntry:n00215	Fonseca’s entry for 'Absurde'		lexicalEntry:n00215.e01		
lexicogEntry:n00216	Fonseca’s entry for 'Absurdus'		lexicalEntry:n00216.e01		
lexicogEntry:n00217	Fonseca’s entry for 'Absynthium'		lexicalEntry:n00217.e01		
lexicogEntry:n00218	Fonseca’s entry for 'Abstorqueo'		lexicalEntry:n00218.e01		
lexicogEntry:n00219	Fonseca’s entry for 'Abundans'		lexicalEntry:n00219.e01		
lexicogEntry:n00220	Fonseca’s entry for 'Abundanter'		lexicalEntry:n00220.e01		
lexicogEntry:n00221	Fonseca’s entry for 'Abundantia'		lexicalEntry:n00221.e01		
lexicogEntry:n00222	Fonseca’s entry for 'Abundatio'		lexicalEntry:n00222.e01		
lexicogEntry:n00223	Fonseca’s entry for 'Abunde'		lexicalEntry:n00223.e01		
lexicogEntry:n00224	Fonseca’s entry for 'Abundo'		lexicalEntry:n00224.e01		
lexicogEntry:n00225	Fonseca’s entry for 'Abundus'		lexicalEntry:n00225.e01		
lexicogEntry:n00226	Fonseca’s entry for 'Abvolo'		lexicalEntry:n00226.e01		
lexicogEntry:n00227	Fonseca’s entry for 'Abusio'		lexicalEntry:n00227.e01		
lexicogEntry:n00228	Fonseca’s entry for 'Abusive'		lexicalEntry:n00228.e01		
lexicogEntry:n00229	Fonseca’s entry for 'Abusque'		lexicalEntry:n00229.e01		
lexicogEntry:n00230	Fonseca’s entry for 'Abusus'		lexicalEntry:n00230.e01		
lexicogEntry:n00231	Fonseca’s entry for 'Abutor'		lexicalEntry:n00231.e01		
lexicogEntry:n00232	Fonseca’s entry for 'Ac'		lexicalEntry:n00232.e01		
lexicogEntry:n00233	Fonseca’s entry for 'Acacia'		lexicalEntry:n00233.e01		
lexicogEntry:n00234	Fonseca’s entry for 'Academia'		lexicalEntry:n00234.e01		
lexicogEntry:n00235	Fonseca’s entry for 'Academicus'		lexicalEntry:n00235.e01		
lexicogEntry:n00236	Fonseca’s entry for 'Acalanthis'		lexicalEntry:n00236.e01		
lexicogEntry:n00237	Fonseca’s entry for 'Acanthice'		lexicalEntry:n00237.e01		
lexicogEntry:n00238	Fonseca’s entry for 'Acanthinus'		lexicalEntry:n00238.e01		
lexicogEntry:n00239	Fonseca’s entry for 'Acanthis'		lexicalEntry:n00239.e01		
lexicogEntry:n00240	Fonseca’s entry for 'Acanthus'		lexicalEntry:n00240.e01		
lexicogEntry:n00241	Fonseca’s entry for 'Acapnon'		lexicalEntry:n00241.e01		
lexicogEntry:n00242	Fonseca’s entry for 'Acatium'		lexicalEntry:n00242.e01		
lexicogEntry:n00243	Fonseca’s entry for 'Accanto'		lexicalEntry:n00243.e01		
lexicogEntry:n00244	Fonseca’s entry for 'Accedo'		lexicalEntry:n00244.e01		
lexicogEntry:n00245	Fonseca’s entry for 'Acceleratio'		lexicalEntry:n00245.e01		
lexicogEntry:n00246	Fonseca’s entry for 'Accelero'		lexicalEntry:n00246.e01		
lexicogEntry:n00247	Fonseca’s entry for 'Accendo'		lexicalEntry:n00247.e01		
