ontolex.LexicalSense	lexicog.usageExample	lexinfo.note	rdfs.comment	rdfs.label.en	rdfs.label.pt	skos.definition.pt	skos.note
lexicalSense:n00121.sg01.s01		Cic.			Aborto	 Aborto , movito 	
lexicalSense:n00122.sg01.s01		* Varr. Plin.			Abortar	 Abortar , mover 	
lexicalSense:n00123.sg01.s01		Plin.			Aborto	 Aborto 	
lexicalSense:n00123.sg01.s02		Juv.			Medicamento	 Medicamento , que faz abortar 	
lexicalSense:n00124.sg01.s01		Hor.			Abortivo	 Abortivo , nascido antes de tempo 	
lexicalSense:n00124.sg01.s02		Plin.			Que faz abortar	 Que faz abortar 	
lexicalSense:n00125.sg01.s01		Varr.			Abortar	 Abortar 	
lexicalSense:n00126.sg01.s01		Ter.			Aborto	 Aborto , movito 	
lexicalSense:n00127.sg01.s01		* Stat.			Nascido	 Nascido 	
lexicalSense:n00128.sg01.s01		Paul. Ict.			Irmão do terceiro avô	 Irmão do terceiro avô 	
lexicalSense:n00129.sg01.s01		Cic.			Tirar raspando	 Tirar raspando 	
lexicalSense:n00130.sg01.s01		Cic.			Raspado	 Raspado 	
lexicalSense:n00132.sg01.s01		Cic.			Arrebatar	 Arrebatar , tirar á força 	
lexicalSense:n00132.sg01.s99	usageExample:n00132.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n00133.sg01.s01		Plin.			Tirar roendo	 Tirar roendo 	
lexicalSense:n00134.sg01.s01		Cic.			Annullação	 Annullação 	
lexicalSense:n00136.sg01.s01		Cic.			Derogar	 Derogar , annullar , revogar 	
lexicalSense:n00136.sg01.s99	usageExample:n00136.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n00138.sg01.s01		Plin.			Roido	 Roido 	
lexicalSense:n00139.sg01.s01		Col.			Vinho de abrotea	 Vinho de abrotea 	
lexicalSense:n00140.sg01.s01		Hor.			[Abrotea	 [ Abrotea , herva . ] 	
lexicalSense:n00141.sg01.s01		Lucret.			Abrotea	 Abrotea , herva 	
lexicalSense:n00142.sg01.s01		Cic.			Separar rompendo	 Separar rompendo 	
lexicalSense:n00142.sg01.s02					Dividir	 Dividir , interromper 	
lexicalSense:n00143.sg01.s01		Quinct.			Sem preambulo	 Sem preambulo , de improviso 	
lexicalSense:n00143.sg01.s02		Macr.			Simplesmente	 Simplesmente 	
lexicalSense:n00143.sg01.s99	usageExample:n00143.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n00144.sg01.s01		Cic.			Rompimento	 Rompimento 	
lexicalSense:n00144.sg01.s02					Divorcio	 Divorcio 	
lexicalSense:n00145.sg01.s01		Virg.			Despenhadeiro	 Despenhadeiro , lugar talhado a pique 	
lexicalSense:n00146.sg01.s01		Virg.			Roto	 Roto , fendido 	
lexicalSense:n00146.sg01.s02		Liv.			Despenhado	 Despenhado , precipitado 	
lexicalSense:n00146.sg01.s99	usageExample:n00146.sg01.s99.u01, usageExample:n00146.sg01.s99.u02, usageExample:n00146.sg01.s99.u03, usageExample:n00146.sg01.s99.u04, usageExample:n00146.sg01.s99.u05		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)			
lexicalSense:n00148.sg01.s01		Vitr.			Longes na pintura	 Longes na pintura 	
lexicalSense:n00148.sg01.s02		Cels.			Inchaços	 Inchaços , abscessos , apostemas 	
lexicalSense:n00149.sg01.s01		Cic.			Retirar-se	 Retirar - se , partir 	
lexicalSense:n00149.sg01.s02		Cels.			Apostemar	 Apostemar , crear materia 	
lexicalSense:n00151.sg01.s01		Cic.			[Apartamento.]	 [ Apartamento . ] 	
lexicalSense:n00152.sg01.s01		Cic.			Apartamento	 Apartamento 	
lexicalSense:n00152.sg01.s02		Cels.			Apostema	 Apostema , tumor 	
lexicalSense:n00153.sg01.s01		Ovid.			[Cortar	 [ Cortar , separar cortando ou rasgando . ] 	
lexicalSense:n00154.sg01.s01		Cic.			Cortar	 Cortar , separar cortando ou rasgando 	
