ontolex.LexicalSense	lexicog.usageExample	lexinfo.note	rdfs.comment	rdfs.label.en	rdfs.label.la	rdfs.label.pt	skos.definition.la	skos.definition.pt	skos.note
lexicalSense:n1481.sg01.s02						Cousa molesta		 Cousa molesta , perniciosa , ou acerba 	dat.
lexicalSense:n1482.sg01.s01						carregar		 carregar , molestar , aggravar 	Aliquem aliqua re.
lexicalSense:n1482.sg10.s01						molestar-se		 molestar - se , levar a mal 	cum accus. reperitur aliquando.
lexicalSense:n1483.sg01.s01						rebanho		 rebanho , manada , alcatea 	generalius est: Armentum, sò se diz de animaes grandes.
lexicalSense:n1484.sg01.s01						o figo verde		 o figo verde 	
lexicalSense:n1485.sg01.s01						grou		 grou 	Palamedis avis dicitur.
lexicalSense:n1486.sg01.s01						animal nas azas		 animal nas azas , e cabeça semelhante á aguia , no mais ao leaõ 	sunt equis vehementer infesti.
lexicalSense:n1486.sg01.s99	usageExample:n1486.sg01.s99.u01		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1487.sg01.s01						gomma		 gomma 	
lexicalSense:n1488.sg01.s01						pego fundo		 pego fundo , e o que he insaciavel 	
lexicalSense:n1489.sg01.s01						garganta		 garganta , ou pégo 	
lexicalSense:n1490.sg01.s01						copo de bocca estreita		 copo de bocca estreita , de que se usava nos sacrificios 	
lexicalSense:n1490.sg10.s01						vaso de unguentos cheirosos		 vaso de unguentos cheirosos 	
lexicalSense:n1491.sg01.s01						ter		 ter , possuir , estimar 	
lexicalSense:n1491.sg01.s99	usageExample:n1491.sg01.s99.u01, usageExample:n1491.sg01.s99.u02, usageExample:n1491.sg01.s99.u03, usageExample:n1491.sg01.s99.u04, usageExample:n1491.sg01.s99.u05, usageExample:n1491.sg01.s99.u06, usageExample:n1491.sg01.s99.u07, usageExample:n1491.sg01.s99.u08, usageExample:n1491.sg01.s99.u09, usageExample:n1491.sg01.s99.u10, usageExample:n1491.sg01.s99.u11, usageExample:n1491.sg01.s99.u12, usageExample:n1491.sg01.s99.u13, usageExample:n1491.sg01.s99.u14, usageExample:n1491.sg01.s99.u15, usageExample:n1491.sg01.s99.u16, usageExample:n1491.sg01.s99.u17, usageExample:n1491.sg01.s99.u18, usageExample:n1491.sg01.s99.u19, usageExample:n1491.sg01.s99.u20		This definitionless sense is an instance of the ontolex:LexicalSense class created to function as a container sense to convey dictionary examples and other phrase-level dictionary elements presented as a separate block by the lexicographer.	Further meanings (see related usage examples)					
lexicalSense:n1492.sg01.s01						cousa habil		 cousa habil , accommodada 	
