lexicog.Entry	rdfs.label	lexinfo.note	lexicog.describes	lexicog.subComponent	skos.note
lexicogEntry:n0229	Velez’s entry for 'Aliquò'		lexicalEntry:n0229.e01		270. 11.
lexicogEntry:n0230	Velez’s entry for 'Aliquot'		lexicalEntry:n0230.e01		122. 1.
lexicogEntry:n0231	Velez’s entry for 'Aliter'		lexicalEntry:n0231.e01		113. 8.
lexicogEntry:n0232	Velez’s entry for 'Aliunde'		lexicalEntry:n0232.e01		270. 5.
lexicogEntry:n0233	Velez’s entry for 'Alius'		lexicalEntry:n0233.e01		209. 1. 216. 14.
lexicogEntry:n0234	Velez’s entry for 'Allia'		lexicalEntry:n0234.e01		132. 5. & 12.
lexicogEntry:n0235	Velez’s entry for 'Allicio'		lexicalEntry:n0235.e01		185. 24. & 262. 19.
lexicogEntry:n0236	Velez’s entry for 'Alligo'		lexicalEntry:n0236.e01		228. 15. 229. 11.
lexicogEntry:n0237	Velez’s entry for 'Allino'		lexicalEntry:n0237.e01		233. 15.
lexicogEntry:n0238	Velez’s entry for 'Allobrox'		lexicalEntry:n0238.e01		312. 2.
lexicogEntry:n0239	Velez’s entry for 'Alluceo'		lexicalEntry:n0239.e01		224. 10.
lexicogEntry:n0240	Velez’s entry for 'Alludo'		lexicalEntry:n0240.e01		Ibidem.
lexicogEntry:n0241	Velez’s entry for 'Alluvies'		lexicalEntry:n0241.e01		172. 20.
lexicogEntry:n0242	Velez’s entry for 'Almus'		lexicalEntry:n0242.e01	lexicogComponent:n0242.e01_comp	103. 29.
lexicogEntry:n0243	Velez’s entry for 'Alo'		lexicalEntry:n0243.e01		190. 22.
lexicogEntry:n0244	Velez’s entry for 'Aloe'		lexicalEntry:n0244.e01		124. 11. & 19.
lexicogEntry:n0245	Velez’s entry for 'Alpes'		lexicalEntry:n0245.e01		155. 5. & 157. 6.
lexicogEntry:n0246	Velez’s entry for 'Alpha'		lexicalEntry:n0246.e01		168. 8.
lexicogEntry:n0247	Velez’s entry for 'Alter'		lexicalEntry:n0247.e01		209. 1.
lexicogEntry:n0248	Velez’s entry for 'Alteruter'		lexicalEntry:n0248.e01		Ibidem & 135. 17.
lexicogEntry:n0249	Velez’s entry for 'Alvear'		lexicalEntry:n0249.e01		172. 21.
lexicogEntry:n0250	Velez’s entry for 'Alveus'		lexicalEntry:n0250.e01	lexicogComponent:n0250.e01_comp	341. 18.
lexicogEntry:n0251	Velez’s entry for 'Alumnus'		lexicalEntry:n0251.e01		208. 8.
lexicogEntry:n0252	Velez’s entry for 'Alvus'		lexicalEntry:n0252.e01	lexicogComponent:n0252.e01_comp	128. 19.
lexicogEntry:n0253	Velez’s entry for 'Am'		lexicalEntry:n0253.e01		112. 4.
lexicogEntry:n0254	Velez’s entry for 'Amabilis'		lexicalEntry:n0254.e01	lexicogComponent:n0254.e01_comp	213. 32.
lexicogEntry:n0255	Velez’s entry for 'Amaracus'		lexicalEntry:n0255.e01		172. 25.
lexicogEntry:n0256	Velez’s entry for 'Amaryllis'		lexicalEntry:n0256.e01	lexicogComponent:n0256.e01_comp	152. 31.
lexicogEntry:n0257	Velez’s entry for 'Amathus'		lexicalEntry:n0257.e01		148 fine & 325. 22.
lexicogEntry:n0258	Velez’s entry for 'Amazon'		lexicalEntry:n0258.e01		310. fine.
