lexicog.LexicographicComponent	rdfs.label	lexinfo.note	lexicog.describes	skos.note
lexicogComponent:n0876.e10_comp	Velez’s subentry for 'Cornus'	At	lexicalEntry:n0876.e10	
lexicogComponent:n0876.e20_comp	Velez’s subentry for 'Cornum'		lexicalEntry:n0876.e20	
lexicogComponent:n0883.e02_comp	Velez’s subentry for 'Cossus'		lexicalEntry:n0883.e02	
lexicogComponent:n0884.e02_comp	Velez’s subentry for 'Costum'		lexicalEntry:n0884.e02	
lexicogComponent:n0890.e02_comp	Velez’s subentry for 'Cratera'		lexicalEntry:n0890.e02	
lexicogComponent:n0898.e02_comp	Velez’s subentry for 'Crocum'	vel	lexicalEntry:n0898.e02	
lexicogComponent:n0901.e10_comp	Velez’s subentry for 'Crustum'		lexicalEntry:n0901.e10	
lexicogComponent:n0903.e02_comp	Velez’s subentry for 'Cristallum'		lexicalEntry:n0903.e02	
lexicogComponent:n0905.e02_comp	Velez’s subentry for 'Cubitum'		lexicalEntry:n0905.e02	
lexicogComponent:n0912.e02_comp	Velez’s subentry for 'Culeum'	vel	lexicalEntry:n0912.e02	
lexicogComponent:n0913.e10_comp	Velez’s subentry for 'Cum'	At	lexicalEntry:n0913.e10	
lexicogComponent:n0914.e10_comp	Velez’s subentry for 'Cuma'	At	lexicalEntry:n0914.e10	
lexicogComponent:n0917.e02_comp	Velez’s subentry for 'Cunae'		lexicalEntry:n0917.e02	
lexicogComponent:n0919.e02_comp	Velez’s subentry for 'Cupiditas'		lexicalEntry:n0919.e02	
lexicogComponent:n0925.e10_comp	Velez’s subentry for 'Curriculò'		lexicalEntry:n0925.e10	
lexicogComponent:n0928.e10_comp	Velez’s subentry for 'Curulis'	unde	lexicalEntry:n0928.e10	
lexicogComponent:n0930.e10_comp	Velez’s subentry for 'Custodia'		lexicalEntry:n0930.e10	
lexicogComponent:n0936.e02_comp	Velez’s subentry for 'Cyperum'		lexicalEntry:n0936.e02	
lexicogComponent:n0937.e02_comp	Velez’s subentry for 'Cyrene'		lexicalEntry:n0937.e02	
lexicogComponent:n0941.e10_comp	Velez’s subentry for 'Daedalus'	unde	lexicalEntry:n0941.e10	
lexicogComponent:n0960.e10_comp	Velez’s subentry for 'Decens'	Hinc	lexicalEntry:n0960.e10	
lexicogComponent:n0966.e10_comp	Velez’s subentry for 'Decusso'	unde	lexicalEntry:n0966.e10	
lexicogComponent:n0972.e10_comp	Velez’s subentry for 'Deductor'	Hinc	lexicalEntry:n0972.e10	
lexicogComponent:n0976.e10_comp	Velez’s subentry for 'Deficior'	Est etiam	lexicalEntry:n0976.e10	
lexicogComponent:n0989.e02_comp	Velez’s subentry for 'Delectat'		lexicalEntry:n0989.e02	
lexicogComponent:n0994.e02_comp	Velez’s subentry for 'Delicium'		lexicalEntry:n0994.e02	
lexicogComponent:n0994.e03_comp	Velez’s subentry for 'Delicia'		lexicalEntry:n0994.e03	
lexicogComponent:n0998.e02_comp	Velez’s subentry for 'Delphinus'		lexicalEntry:n0998.e02	
lexicogComponent:n1002.e02_comp	Velez’s subentry for 'Denarium'		lexicalEntry:n1002.e02	
lexicogComponent:n1011.e02_comp	Velez’s subentry for 'Descensio'		lexicalEntry:n1011.e02	
lexicogComponent:n1012.e10_comp	Velez’s subentry for '[Desero]'		lexicalEntry:n1012.e10	
lexicogComponent:n1014.e10_comp	Velez’s subentry for 'Desultor'	Hinc	lexicalEntry:n1014.e10	
lexicogComponent:n1014.e20_comp	Velez’s subentry for 'Desultorius'	Ponitur etiam	lexicalEntry:n1014.e20	
lexicogComponent:n1018.e10_comp	Velez’s subentry for 'Despectus'		lexicalEntry:n1018.e10	
lexicogComponent:n1030.e10_comp	Velez’s subentry for 'Dextera'		lexicalEntry:n1030.e10	
lexicogComponent:n1034.e10_comp	Velez’s subentry for 'Dialectica'		lexicalEntry:n1034.e10	
lexicogComponent:n1038.e10_comp	Velez’s subentry for 'Dictum'	§ A Dico fiunt,	lexicalEntry:n1038.e10	
lexicogComponent:n1038.e20_comp	Velez’s subentry for 'Dictio'		lexicalEntry:n1038.e20	
lexicogComponent:n1038.e30_comp	Velez’s subentry for 'Dicto'		lexicalEntry:n1038.e30	
lexicogComponent:n1038.e40_comp	Velez’s subentry for 'Dictata'	hinc	lexicalEntry:n1038.e40	
lexicogComponent:n1038.e50_comp	Velez’s subentry for 'Dicteria'		lexicalEntry:n1038.e50	
lexicogComponent:n1039.e02_comp	Velez’s subentry for 'dictamnus'	vel	lexicalEntry:n1039.e02	
lexicogComponent:n1042.e10_comp	Velez’s subentry for 'Diecula'	unde	lexicalEntry:n1042.e10	
lexicogComponent:n1049.e10_comp	Velez’s subentry for 'Dignitas'	Hinc	lexicalEntry:n1049.e10	
lexicogComponent:n1050.e02_comp	Velez’s subentry for 'Digressus'		lexicalEntry:n1050.e02	
lexicogComponent:n1052.e10_comp	Velez’s subentry for 'diligens'	Hinc	lexicalEntry:n1052.e10	
lexicogComponent:n1053.e10_comp	Velez’s subentry for 'dilutum'	unde	lexicalEntry:n1053.e10	
lexicogComponent:n1054.e02_comp	Velez’s subentry for 'Diluvium'		lexicalEntry:n1054.e02	
lexicogComponent:n1055.e10_comp	Velez’s subentry for 'Dimetiens'	Hinc	lexicalEntry:n1055.e10	
lexicogComponent:n1059.e02_comp	Velez’s subentry for 'Dindyma'		lexicalEntry:n1059.e02	
lexicogComponent:n1063.e10_comp	Velez’s subentry for 'Dionysia'	Est item	lexicalEntry:n1063.e10	
lexicogComponent:n1068.e02_comp	Velez’s subentry for 'Dipondius'		lexicalEntry:n1068.e02	
lexicogComponent:n1068.e03_comp	Velez’s subentry for 'Dupondium'	vel	lexicalEntry:n1068.e03	
lexicogComponent:n1068.e04_comp	Velez’s subentry for 'Dupondius'	et	lexicalEntry:n1068.e04	
lexicogComponent:n1069.e10_comp	Velez’s subentry for '[Dirae]'		lexicalEntry:n1069.e10	
lexicogComponent:n1075.e10_comp	Velez’s subentry for 'Dis'	hinc	lexicalEntry:n1075.e10	
lexicogComponent:n1076.e10_comp	Velez’s subentry for 'Discrimen'	hinc	lexicalEntry:n1076.e10	
lexicogComponent:n1081.e10_comp	Velez’s subentry for 'Diserte'		lexicalEntry:n1081.e10	
lexicogComponent:n1082.e10_comp	Velez’s subentry for 'Disparilis'	Est etiam	lexicalEntry:n1082.e10	
lexicogComponent:n1086.e02_comp	Velez’s subentry for 'Dissensus'		lexicalEntry:n1086.e02	
lexicogComponent:n1088.e02_comp	Velez’s subentry for '[Dissero]'		lexicalEntry:n1088.e02	
lexicogComponent:n1091.e10_comp	Velez’s subentry for 'Dissolutus'	Hinc	lexicalEntry:n1091.e10	
lexicogComponent:n1091.e20_comp	Velez’s subentry for 'Dissolutè'		lexicalEntry:n1091.e20	
lexicogComponent:n1099.e10_comp	Velez’s subentry for 'Dium'	Hinc	lexicalEntry:n1099.e10	
lexicogComponent:n1099.e11_comp	Velez’s subentry for 'Divum'	vel	lexicalEntry:n1099.e11	
lexicogComponent:n1104.e10_comp	Velez’s subentry for 'Dodra'	hinc	lexicalEntry:n1104.e10	
lexicogComponent:n1108.e02_comp	Velez’s subentry for 'Dominatus'		lexicalEntry:n1108.e02	
