ontolex.LexicalEntry	subClass	decomp.subterm	lexinfo.note	ontolex.canonicalForm	ontolex.lexicalForm	ontolex.sense	rdfs.label	skos.note
lexicalEntry:n0129.e01	ontolex:Word			lilaLemma:90434		lexicalSense:n0129.sg01.s01	Velez’s lexical entry for 'Adstrepo'	
lexicalEntry:n0130.e01	ontolex:Word		(et sic de Ascribo, et aliis suprà)	lilaLemma:90445		lexicalSense:n0130.sg01.s01, lexicalSense:n0130.sg01.s99	Velez’s lexical entry for 'Adstringo'	
lexicalEntry:n0131.e01	ontolex:Word			lilaLemma:87642		lexicalSense:n0131.sg01.s01, lexicalSense:n0131.sg01.s02, lexicalSense:n0131.sg01.s03, lexicalSense:n0131.sg01.s99	Velez’s lexical entry for 'Adsum'	
lexicalEntry:n0132.e01	ontolex:Word			lilaLemma:87647		lexicalSense:n0132.sg01.s01, lexicalSense:n0132.sg01.s99	Velez’s lexical entry for 'Adveho'	
lexicalEntry:n0133.e01	ontolex:Word			lilaLemma:87650		lexicalSense:n0133.sg01.s01	Velez’s lexical entry for 'Advena'	Masc. tantùm.
lexicalEntry:n0134.e01	ontolex:Word			lilaLemma:87654		lexicalSense:n0134.sg01.s01	Velez’s lexical entry for 'Advenio'	
lexicalEntry:n0135.e01	ontolex:Word			lilaLemma:87629		lexicalSense:n0135.sg01.s01	Velez’s lexical entry for 'Adversarius'	
lexicalEntry:n0135.e10	ontolex:Word			lilaLemma:88239		lexicalSense:n0135.sg10.s01	Velez’s lexical entry for 'Adversaria'	
lexicalEntry:n0136.e01	ontolex:Word			lilaLemma:87677		lexicalSense:n0136.sg01.s01	Velez’s lexical entry for 'Adversor'	
lexicalEntry:n0137.e01	ontolex:Word		praeposit.	lilaLemma:87680		lexicalSense:n0137.sg01.s01, lexicalSense:n0137.sg01.s02, lexicalSense:n0137.sg01.s03	Velez’s lexical entry for 'Adversùs'	
lexicalEntry:n0138.e01	ontolex:Word			lilaIpoLemma:1008		lexicalSense:n0138.sg01.s01, lexicalSense:n0138.sg01.s02	Velez’s lexical entry for 'Adversus'	
lexicalEntry:n0139.e01	ontolex:Word			lilaLemma:87682		lexicalSense:n0139.sg01.s01	Velez’s lexical entry for 'Adverto'	
lexicalEntry:n0140.e01	ontolex:Word			lilaLemma:87696		lexicalSense:n0140.sg01.s01	Velez’s lexical entry for 'Adulor'	
lexicalEntry:n0141.e01	ontolex:Word			lilaLemma:87701		lexicalSense:n0141.sg01.s01	Velez’s lexical entry for 'Adulter'	
lexicalEntry:n0142.e01	ontolex:Word			lilaLemma:87721		lexicalSense:n0142.sg01.s01	Velez’s lexical entry for 'Advolito'	
